v0	您好，我是xx证券的客服人员，工号xx，请问您是xx先生/小姐吗
v1	请您回答是或不是好吗
v2	请问认识他吗
v3	您好，这里是xx证券，请问是xx先生/小姐本人吗?请回答是或不是好吗?
v4	我们需联系xx做个回访，请问有他本人的联系方式吗
v5	那非常抱歉打扰您了，再见
v6	抱歉我们只能回访开户人，就不打扰您了再见
v7	xx先生/小姐，您好，非常感谢选择了xx证券。为了能更好的为您服务，有些信息需要和您确认一下，您看现在方便吗?可能要耽误您1到2分钟时间。
v8	请问账户是您自愿且本人亲自办理开通，账户密码是您本人设置的吗?
v9	请问您什么时候方便接听回访呢?只需要耽误您1到2分钟时间可以吗?
v10	您好，为保证开户合法权益，我司不定期都会向新老客户进行回访，只需要耽误您1到2分钟时间，可以吗?
v11	那抱歉打扰您了，再见
v12	那先不打扰您了，我们换个时间再联系您，祝您生活愉快，再见
v13	好的，我们会在约定时间再次致电，麻烦您注意接听，再次感谢您的支持与配合，祝您生活愉快，再见。
v14	请您回答是或不是好么?
v15	请问您的账户是本人操作，并使用自有资金吗?
v16	您的意思是不是您本人开通的还是密码不是您本人设置的?
v17	那账户密码是您本人设置的吗?
v18	那账户是您自愿且本人亲自开通的吗?
v19	那账户是您自愿开通的吗?
v20	您好，根据资料显示，您在x年x月x日在浙商证券营业部开户，请问您还有印象么?
v21	xx先生/小姐，您的情况我们已经记录，非常感谢您的配合，祝您生活愉快，再见!
v22	请您回答是或不是好吗
v23	您的意思是账户不是本人操作还是资金不是自己的
v25	那资金是您自己的吗
v26	他是我浙商证券的工作人员吗
v27	那以后是您本人操作吗
v28	请问是谁在代理您操作
v29	请问是谁的资金呢
v30	资金是您自己的吗
v31	请问他是浙商证券的工作人员吗?
v32	请问您是否清楚自身风险承受能力与证券开户业务的匹配情况？
v33	您的风险承受能力登记为**型，证券开户业务的风险为中风险，与您的风险等级匹配。我公司的适当性匹配意见不表明对产品或者服务的风险和收益做出实质性判断或者保证，请您审慎考察该业务的特征及风险，自行做出充分风险评估理性投资。
v34	您的风险承受能力登记为**型，证券开户业务的风险为中风险，高于您的风险承受能力等级，进行证券投资，可能导致高出您自身承受能力的损失。我公司的适当性匹配意见不表明对产品或者服务的风险和收益做出实质性判断或者保证，请您审慎考察该业务的特征及风险，自行做出充分风险评估理性投资。
v35	请问，您是否有客户经理为您服务
v36	您的风险承受能力与证券账户开户业务风险不匹配，是您主动申请并坚持开户，并愿意自行承担相应风险的吗?
v37	请您回答是或不是好吗
v38	请您回答是或不是好吗
v39	请问是我们工作人员推介您办理的吗?
v40	请问工作人员叫什么名字
v41	我们资料显示您有客户经理，客户经理名字叫xx，您还有印象吗?
v42	好的，客户经理叫什么名字您还记得吗?
v43	我们资料显示您的客户经理是xx，您看是他吗?
v44	xx先生/小姐，最后有两点重要提示: 一请不要将自己的账户转借他人或者借用他人账户，因为这是违规行为需投资者自行承担相应的经济损失和法律责任，请您妥善保管好自己的账号和密码，定期修改密码。二我司工作人员不得代客户操作账户，不得向客户介绍配资、不得主动推介不适当产品和违规销售产品,同时我司不会授权任何机构或个人开展委托理财业务，请问上述内容您是否已知晓?
v45	那我再向您说明一下:1 请不要将自己的账户转借他人或者借用他人账户，因为这是违规行为需投资者自行承担相应的经济损失和法律责任，请您妥善保管好自己的账号和密码，定期修改密码。2 我司工作人员不得代客户操作账户，不得向客户介绍配资、不得主动推介不适当产品和违规销售产品，同时我司不会授权任何机构或个人开展委托理财业务。请问上述内容您是否已知晓?
v46	xx先生/小姐，非常感谢您的支持和配合，如果您有需要，可以拨打我公司的客服电话12345转人工服务，我们将继续用心为您服务，祝您生活愉快，再见!

